HIMAL,mean_HEIGHTM
Annapurna,7058.214285714285
Api/Byas Risi/Guras,6610.166666666667
Damodar,6347.851851851852
Dhaulagiri,6980.96
Ganesh/Shringi,6595.35
Janak/Ohmi Kangri,6398.933333333333
Jongsang,7007.571428571428
Jugal,6497.863636363636
Kangchenjunga/Simhalila,7237.866666666667
Kanjiroba,6282.307692307692
Kanti/Palchung,6325.619047619048
Khumbu,6773.53164556962
Langtang,6492.785714285715
Makalu,6901.333333333333
Manaslu/Mansiri,6789.571428571428
Mukut/Mustang,6242.466666666666
Nalakankar/Chandi/Changla,6302.588235294118
Peri,6735.8
Rolwaling,6471.4375
Saipal,6475.333333333333
