ROUTE1,success_rate_route1
    E side,0.0
(A pillar on) S Face,0.0
(A rib on) S Face,0.0
(N)W Ridge from S,0.0
(Small ridge on) SE Face,1.0
(permit for trekking only),0.0
A couloir just W of N Col-N Ridge,0.0
A ridge on N Face,0.0
A ridge on SE Face,1.0
A ridge on SW Face,1.0
A south ridge to east end of East Ridge,0.0
Arete on S Face-Pt 7726 on Smt Ridge,0.0
Bottom of SW Face-E Col,0.0
Central Couloir of S(SW) Face-N Ridge up; W Ridge down,1.0
Central Gully of S Face of S Smt I (7350m)-S Smt II,0.0
Central Pillar of E Face,1.0
Central Pillar of S Face,0.0
Central Ridge of S Face,0.5
Central Ridge of S Face (British Spring 1961 rte),0.0
Central S Ridge-E Ridge from S,1.0
Central SW Ridge,0.0
Central Spur of S Face,0.5
Central Spur of SW Face,1.0
Changla-W Face (to 5050m),0.0
Chinese route,0.0
Couloir on E side of N Ridge (to 8000m),0.0
Couloirs of NE Face to West Smt,0.0
DW Ridge,1.0
E  Ridge,1.0
E & W sides,0.0
E Buttress (did no climbing above ABC),0.0
E Buttress of S Face,0.0
E Col-N Face (to 5500m),0.0
E Couloir,0.0
E Face,0.5102040816326531
E Face (new rte),0.5
E Face (same as Groom in Winter  2001),0.0
E Face (to 5750m),0.0
E Face (to 7250m),1.0
"E Face (up), NE Ridge (down)",1.0
E Face (up); N Ridge (down),1.0
E Face (up); SE Ridge (down),0.0
E Face (with some variation),1.0
"E Face Couloir-SE Ridge (up), SE Ridge (down)",0.0
E Face from BC,1.0
E Face of E Smt,0.0
E Face of Fang to Annapurna's SW Ridge,0.0
E Face of S Ridge,0.5
E Face up; E Ridge down,1.0
E Face up; S Ridge down,1.0
E Face-E Ridge-S Ridge,0.0
E Face-N Ridge,0.0
E Face-NE Ridge,0.6
E Face-NE Ridge (Macintyre Polish 1980 rte),1.0
E Face-NE Ridge (near USA 1981 Winter rte),1.0
E Face-NE Ridge up; NE Ridge down,0.0
E Face-S Col (Venables rte),0.0
E Face-S Col-SE Ridge,1.0
E Face-S Ridge,0.6666666666666666
E Face-S Ridge-W Ridge,1.0
E Face-SE Ridge,0.0
E Face-SE Ridge of E Smt,0.0
E Hungu headwall-Chamlang Glacier,0.0
E Pillar,1.0
E Pillar-N Summit (to 6000m),0.0
